;;;;;;
;;;;;;
Friday, June 3, 2016;🎥 Me Before You;🎥 Teenage Mutant Ninja Turtles: Out of the Shadows;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, June 10, 2016;🎥 Now You See Me 2;🎥 The Conjuring 2;🎥 Warcraft;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, June 17, 2016;🎥 Central Intelligence;🎥 Finding Dory;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, June 24, 2016;🎥 Free State of Jones;🎥 Independence Day Resurgence;🎥 The Neon Demon;🎥 The Shallows;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, July 1, 2016;🎥 The BFG;🎥 The Legend of Tarzan;🎥 The Purge: Election Year;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, July 8, 2016;🎥 Cell;🎥 Mike & Dave Need Wedding Dates;🎥 The Secret Life of Pets;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Wednesday, July 13, 2016;🎥 The Infiltrator;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, July 15, 2016;🎥 Ghostbusters;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, July 22, 2016;🎥 Ice Age: Collision Course;🎥 Lights Out;🎥 Star Trek Beyond;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Wednesday, July 27, 2016;🎥 Nerve;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, July 29, 2016;🎥 Bad Moms;🎥 Jason Bourne;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, August 5, 2016;🎥 Nine Lives;🎥 Suicide Squad;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, August 12, 2016;🎥 Pete's Dragon;🎥 Sausage Party;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, August 19, 2016;🎥 Ben-Hur;🎥 Collide;🎥 Kubo and the Two Strings;🎥 War Dogs;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, August 26, 2016;🎥 Don't Breathe;🎥 Hands of Stone;🎥 Mechanic: Resurrection;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, September 2;🎥 Morgan;🎥 Solace;🎥 The Light Between Oceans;;;
 ;;;;;;
;;;;;;
;;;;;;
